Time,input_1,output
38,0.470703932,0.470703932
38.1,-0.641313048,-0.5
38.2,-0.969174174,-0.5
38.3,-0.258141266,-0.258141266
38.4,0.671989478,0.5
38.5,0.994871886,0.5
38.6,0.562187307,0.5
38.7,-0.211055254,-0.211055254
38.8,-0.818943766,-0.5
38.9,-0.997342779,-0.5
39,-0.768506917,-0.5
39.1,-0.312570347,-0.312570347
39.2,0.177002288,0.177002288
39.3,0.573693665,0.5
39.4,0.831225179,0.5
39.5,0.960512509,0.5
39.6,0.999308292,0.5
39.7,0.989535361,0.5
39.8,0.965348853,0.5
39.9,0.949086249,0.5
40,0.951056516,0.5
40.1,0.970118975,0.5
40.2,0.993597121,0.5
40.3,0.996688957,0.5
40.4,0.94315771,0.5
40.5,0.790636145,0.5
40.6,0.504599954,0.5
40.7,0.083124762,0.083124762
40.8,-0.412544868,-0.412544868
40.9,-0.839564875,-0.5
41,-0.998219065,-0.5
41.1,-0.727267435,-0.5
41.2,-0.054761968,-0.054761968
41.3,0.694354481,0.5
41.4,0.996655667,0.5
41.5,0.515112875,0.5
41.6,-0.452422257,-0.452422257
41.7,-0.999610018,-0.5
41.8,-0.446247795,-0.446247795
41.9,0.671593871,0.5
42,0.910105971,0.5
42.1,-0.179938884,-0.179938884
42.2,-0.999996518,-0.5
42.3,-0.123119981,-0.123119981
42.4,0.983581551,0.5
42.5,0.17579628,0.17579628
42.6,-0.994043411,-0.5
42.7,0.021078526,0.021078526
42.8,0.977161434,0.5
42.9,-0.45284246,-0.45284246
43,-0.704881854,-0.5
43.1,0.920710676,0.5
43.2,-0.043214853,-0.043214853
43.3,-0.852459551,-0.5
43.4,0.900008618,0.5
43.5,-0.180433312,-0.180433312
43.6,-0.6397449,-0.5
43.7,0.997965104,0.5
43.8,-0.773627918,-0.5
43.9,0.195983797,0.195983797
44,0.414375581,0.414375581
44.1,-0.835479499,-0.5
44.2,0.996573014,0.5
44.3,-0.938202209,-0.5
44.4,0.747278733,0.5
44.5,-0.508365234,-0.5
44.6,0.281524287,0.281524287
44.7,-0.100080395,-0.100080395
44.8,-0.022115009,-0.022115009
44.9,0.081621923,0.081621923
45,-0.078459096,-0.078459096
45.1,0.012597453,0.012597453
45.2,0.115852528,0.115852528
45.3,-0.302765809,-0.302765809
45.4,0.532746304,0.5
45.5,-0.770012374,-0.5
45.6,0.951675909,0.5
45.7,-0.991508984,-0.5
45.8,0.804636866,0.5
45.9,-0.3587883,-0.3587883
46,-0.260841506,-0.260841506
46.1,0.817770189,0.5
46.2,-0.989774239,-0.5
46.3,0.571633308,0.5
46.4,0.270049291,0.270049291
46.5,-0.938462886,-0.5
46.6,0.793149298,0.5
46.7,0.153672263,0.153672263
46.8,-0.960083058,-0.5
46.9,0.611938479,0.5
47,0.56467895,0.5
47.1,-0.939176997,-0.5
47.2,-0.163133107,-0.163133107
47.3,0.999202918,0.5
47.4,-0.02123557,-0.02123557
47.5,-0.99980724,-0.5
47.6,-0.044721359,-0.044721359
47.7,0.985265555,0.5
47.8,0.353945005,0.353945005
47.9,-0.817082518,-0.5
48,-0.801566985,-0.5
48.1,0.259658505,0.259658505
48.2,0.984143642,0.5
48.3,0.630402168,0.5
48.4,-0.316655768,-0.316655768
48.5,-0.953217051,-0.5
48.6,-0.841012575,-0.5
48.7,-0.182163449,-0.182163449
48.8,0.539640948,0.5
48.9,0.952224317,0.5
49,0.950081019,0.5
49.1,0.635461211,0.5
49.2,0.185405931,0.185405931
49.3,-0.25018061,-0.25018061
49.4,-0.588699853,-0.5
49.5,-0.80947839,-0.5
49.6,-0.929961408,-0.5
49.7,-0.982340192,-0.5
49.8,-0.998034611,-0.5
49.9,-1,-0.5
50,-1,-0.5
50.1,-0.998028701,-0.5
50.2,-0.98231079,-0.5
50.3,-0.929880533,-0.5
50.4,-0.809312345,-0.5
50.5,-0.588420471,-0.5
50.6,-0.24978517,-0.24978517
50.7,0.185868979,0.185868979
50.8,0.635873494,0.5
50.9,0.950267085,0.5
51,0.952022627,0.5
51.1,0.539032483,0.5
51.2,-0.182935649,-0.182935649
51.3,-0.841471178,-0.5
51.4,-0.952941253,-0.5
51.5,-0.315731841,-0.315731841
51.6,0.631206607,0.5
51.7,0.983948015,0.5
51.8,0.25853581,0.25853581
51.9,-0.802298949,-0.5
52,-0.816339251,-0.5
52.1,0.355208118,0.355208118
52.2,0.985022781,0.5
52.3,-0.046196381,-0.046196381
52.4,-0.99983628,-0.5
52.5,-0.019633692,-0.019633692
52.6,0.999135066,0.5
52.7,-0.164837592,-0.164837592
52.8,-0.938560503,-0.5
52.9,0.566207725,0.5
53,0.610421688,0.5
53.1,-0.960634791,-0.5
53.2,0.155689721,0.155689721
53.3,0.79186562,0.5
53.4,-0.939209361,-0.5
53.5,0.272196277,0.272196277
53.6,0.569750081,0.5
53.7,-0.989435398,-0.5
53.8,0.819160053,0.5
53.9,-0.263236641,-0.263236641
54,-0.356411879,-0.356411879
54.1,0.803085871,0.5
54.2,-0.991158201,-0.5
54.3,0.952511726,0.5
54.4,-0.771793301,-0.5
54.5,0.535163496,0.5
54.6,-0.305549065,-0.305549065
54.7,0.118816424,0.118816424
54.8,0.009550296,0.009550296
54.9,-0.075358132,-0.075358132
55,0.078459096,0.078459096
55.1,-0.01887985,-0.01887985
