Time,input_1_1,input_2_1,output
36.1,7.121272547,17.79469477,38.44659657
36.2,20.17204771,11.82968225,133.5700263
36.3,1.851516494,3.123740826,23.85808892
36.4,13.63751838,20.88194179,67.96658872
36.5,17.31961674,5.307922243,171.2070191
36.6,1.080594947,9.016446642,8.195789367
36.7,14.59022882,19.40757534,75.42616507
36.8,17.97625417,1.242479916,367.2823647
36.9,1.802483625,16.34207766,10.15461021
37,10.02764506,13.15076237,62.97512709
37.1,20.89389804,2.634861617,293.1474563
37.2,7.795324943,20.82381315,38.90448391
37.3,1.969059096,5.180501767,19.70236688
37.4,15.78336309,9.660691617,115.6487658
37.5,19.81921264,18.73010453,104.2946092
37.6,6.920391946,1.015561197,156.3951234
37.7,1.408448517,18.02001425,7.556296249
37.8,11.90479622,10.52391458,83.57547876
37.9,20.85861244,4.737526269,218.250458
38,15.70703932,20.84564335,78.34878103
38.1,4.586869521,2.402350654,67.39749443
38.2,1.308258257,14.23203995,7.897788
38.3,8.418587337,14.61953244,50.1438926
38.4,17.71989478,2.258816819,268.5135442
38.5,20.94871886,20.83869431,104.5123904
38.6,16.62187307,4.480709813,178.8348345
38.7,8.889447458,11.35523937,60.0789294
38.8,2.810562343,16.91439132,15.56361936
38.9,1.026572205,1.37792462,19.9169272
39,3.314930828,20.28615402,16.76178153
39.1,7.874296531,5.85048698,74.141492
39.2,12.77002288,9.976380216,92.07691153
39.3,16.73693665,17.74150289,90.4953645
39.4,19.31225179,1.199197077,401.6365233
39.5,20.60512509,20.11079793,104.642033
39.6,20.99308292,5.968111172,195.7056363
39.7,20.89535361,10.14996954,149.3698414
39.8,20.65348853,17.3752081,112.8428314
39.9,20.49086249,1.388259087,396.0687164
40,20.51056516,20.51056516,103.1417221
40.1,20.70118975,4.796978832,215.2568445
40.2,20.93597121,11.87726018,138.3504391
40.3,20.96688957,15.68179674,120.5817721
40.4,20.4315771,2.295686835,307.1080027
40.5,18.90636145,20.9885257,93.98586746
40.6,16.04599954,2.77109495,219.5263398
40.7,11.83124762,15.04372329,69.47018259
40.8,6.87455132,12.27327744,44.68992719
40.9,2.604351248,4.826098346,26.99896014
41,1.017809347,20.30928393,5.143570465
41.1,3.727325648,1.114475794,80.40954082
41.2,10.45238032,18.83485265,54.85038175
41.3,17.94354481,7.222270841,152.0606781
41.4,20.96655667,9.810276102,152.4516263
41.5,16.15112875,16.80773998,89.72093343
41.6,6.475777426,2.025814103,103.6185911
41.7,1.003899824,20.99517355,4.989720373
41.8,6.53752205,2.286422858,98.46467563
41.9,17.71593871,16.50046454,99.32570308
42,20.10105971,9.871436151,145.7049639
42.1,9.200611159,7.570976483,76.15287302
42.2,1.00003482,18.22137023,5.335439138
42.3,9.768800188,1.486623448,182.4678277
42.4,20.83581551,20.91406546,103.7616422
42.5,12.7579628,2.577827663,180.9672372
42.6,1.059565894,16.39111864,5.960315349
42.7,11.21078526,9.568908422,82.53732682
42.8,20.77161434,8.275316668,164.446072
42.9,6.471575402,17.35994719,35.37377265
43,3.951181461,2.104241236,62.03328448
43.1,20.20710676,20.97301423,100.4891736
43.2,10.56785147,1.51141619,195.7673357
43.3,2.475404491,18.58587128,13.07676372
43.4,20.00008618,6.391929071,180.1612796
43.5,9.195666882,12.02705732,60.38778559
43.6,4.602550995,13.63751838,28.3841896
43.7,20.97965104,5.104624248,211.4764128
43.8,3.263720817,19.34840177,16.89802769
43.9,12.95983797,1.26749705,262.1631567
44,15.14375581,20.93611311,75.37566117
44.1,2.645205007,2.003339931,42.56254385
44.2,20.96573014,18.07906048,112.2968637
44.3,1.61797791,6.558057286,14.3889979
44.4,18.47278733,12.39781452,119.48281
44.5,5.916347664,12.7270275,37.76902379
44.6,13.81524287,6.371866093,124.6438252
44.7,9.999196049,18.05082383,53.59967226
44.8,10.77884991,2.191323936,165.8306098
44.9,11.81621923,20.79229181,59.01642848
45,10.21540904,1.030826663,229.1440075
45.1,11.12597453,20.37635579,56.13327336
45.2,12.15852528,2.892139691,162.8234055
45.3,7.97234191,17.299143,43.65351171
45.4,16.32746304,6.889438146,141.6681984
45.5,3.299876264,12.71155344,21.07870404
45.6,20.51675909,11.73321748,136.40986
45.7,1.08491016,7.92507196,8.77683095
45.8,19.04636866,16.18850845,107.8088299
45.9,7.412117003,4.022620497,84.16534337
46,8.391584937,19.3752804,43.41757479
46.1,19.17770189,1.654361237,339.568155
46.2,1.102257607,20.87903636,5.493807574
46.3,16.71633308,1.010647221,378.6925729
46.4,13.70049291,20.70914051,68.56472201
46.5,1.615371138,1.915282917,26.58284236
46.6,18.93149298,19.1713685,98.469985
46.7,12.53672263,3.971041831,143.2772875
46.8,1.399169416,16.71813734,7.793309495
46.9,17.11938479,6.702735693,150.5940007
47,16.6467895,13.82006576,101.9814066
47.1,1.608230028,9.665984399,11.78068887
47.2,9.368668929,10.87936577,64.68769369
47.3,20.99202918,12.5112625,135.1603843
47.4,10.7876443,8.187168842,85.86285188
47.5,1.001927595,15.00748833,5.890170896
47.6,10.55278641,5.916077131,98.80883957
47.7,20.85265555,17.03656131,115.057773
47.8,14.53945005,4.13531577,162.8317931
47.9,2.829174824,18.57152414,14.9513902
48,2.984330151,2.836607493,40.35457784
48.1,13.59658505,19.64886959,69.8564679
48.2,20.84143642,1.961921207,338.8694607
48.3,17.30402168,20.3420572,87.37660767
48.4,7.833442315,1.427774117,149.3029751
48.5,1.467829491,20.73995743,7.340358029
48.6,2.58987425,1.143766289,55.15127998
48.7,9.178365513,20.93138438,45.68902988
48.8,16.39640948,1.025105342,368.8162706
48.9,20.52224317,20.99527066,102.0022273
49,20.50081019,1.000049348,466.8806488
49.1,17.35461211,20.99525131,86.25810977
49.2,12.85405931,1.013660843,290.7632597
49.3,8.498193902,20.97721875,42.25695968
49.4,5.113001472,1.029269301,114.7775559
49.5,2.905216097,20.96855405,14.44906566
49.6,1.70038592,1.028790891,38.17943608
49.7,1.176598077,20.97805862,5.850473972
49.8,1.01965389,1.012693652,23.07593468
49.9,1.000000005,20.99599419,4.970239823
50,1,1,22.77432765
50.1,1.019712994,20.99404033,5.068453944
50.2,1.1768921,1.028316418,26.43131846
50.3,1.701194665,20.92538067,8.469599862
50.4,2.906876547,1.153478137,61.6406868
50.5,5.115795286,20.72552968,25.59209874
50.6,8.502148304,1.448001199,160.9124991
50.7,12.85868979,20.31489474,64.97331055
50.8,17.35873494,1.997176936,279.7405118
50.9,20.50267085,19.60438026,105.4579793
51,20.52022627,2.891404192,274.8358022
51.1,16.39032483,18.50547197,86.77268622
51.2,9.170643505,4.213376831,101.7490175
51.3,2.58528822,16.94601091,14.30279095
51.4,1.470587465,6.019238579,13.65103706
51.5,7.842681592,14.89204337,46.28422558
51.6,17.31206607,8.314029534,136.7378301
51.7,20.83948015,12.37448004,134.9177115
51.8,13.5853581,11.02387608,93.18574757
51.9,2.977010511,9.516693096,21.97773339
52,2.836607493,13.97041582,17.28383628
52.1,14.55208118,6.555805708,129.4367609
52.2,20.85022781,16.85648263,115.6572576
52.3,10.53803619,3.846998859,122.3613392
52.4,1.001637204,19.2750414,5.195870904
52.5,10.80366308,1.838120429,181.480353
52.6,20.99135066,20.7539314,104.9387193
52.7,9.351624078,1.003391207,212.6167423
52.8,1.614394974,20.84476234,8.052984947
52.9,16.66207725,1.732495877,288.2959911
53,17.10421688,19.25310659,88.77656799
53.1,1.393652094,4.18642681,15.51237106
53.2,12.55689721,15.9883872,71.51968206
53.3,18.9186562,8.153119959,150.8946818
53.4,1.607906392,11.48863716,10.80368889
53.5,13.72196277,12.95860569,86.81258005
53.6,16.69750081,6.655987595,147.3977268
53.7,1.105646019,17.50188295,6.018929874
53.8,19.19160053,2.736971839,264.1931757
53.9,8.367633592,20.46886361,42.12125991
54,7.435881213,1.012630434,168.2877562
54.1,19.03085871,20.72960818,95.19374284
54.2,1.088417987,2.334932873,16.22198796
54.3,20.52511726,17.83378265,110.6902776
54.4,3.282066985,6.646934772,28.99227508
54.5,16.35163496,12.41678751,105.6822676
54.6,7.944509352,12.71433909,50.74178611
54.7,12.18816424,6.267756571,110.8735114
54.8,11.09550296,18.31029854,59.05339163
54.9,10.24641868,1.860418581,171.0851551
55,11.78459096,20.96917334,58.60968975
55.1,10.8112015,1.354342922,211.5705452
55.2,9.966380446,19.14593622,51.8734009
55.3,13.84748235,5.402834146,135.6767922
55.4,5.886889147,13.27820681,36.79270413
55.5,18.49591445,12.40123626,119.6158916
55.6,1.605750946,6.055240473,14.86134285
55.7,20.96267665,18.83387644,110.0075371
55.8,2.665459965,1.39391397,51.41617238
55.9,15.10970266,20.93543769,75.20738013
56,12.99709981,2.298162453,195.2547716
56.1,3.239293773,17.03455743,17.87435887
56.2,20.97707015,8.68265679,162.1302595
56.3,4.633267104,9.14748427,34.88848142
56.4,9.155820417,16.75108059,50.94732852
56.5,20.01794816,2.348923478,297.4614499
56.6,2.497322803,20.96254094,12.42219337
56.7,10.52548361,1.635713051,187.4278244
56.8,20.22381754,17.89659988,108.8738144
56.9,3.982223459,8.011290898,32.04202391
57,6.432125657,9.404633976,47.76712863
57.1,20.76196932,16.89283787,115.0436899
57.2,11.25632588,2.059333068,178.6400887
57.3,1.054638838,20.9983911,5.241508748
57.4,12.71186297,2.255766719,192.7558975
57.5,20.84426568,16.39138323,117.2531078
57.6,9.816514895,10.31692176,69.6029787
57.7,1.000024876,6.750452385,8.765767127
57.8,9.152115298,19.14812232,47.63256302
57.9,20.08024764,1.048646678,446.5807886
58,17.75332808,20.10105971,90.18117024
58.1,6.583406846,5.259975936,65.37389792
58.2,1.002586593,11.72945766,6.666969855
58.3,6.429051776,15.54298382,37.13857965
58.4,16.10554924,2.466384003,233.5558538
58.5,20.962023,20.99962681,104.1772693
58.6,17.98255381,2.591234236,254.4155174
58.7,10.50728369,15.16347442,61.45209047
58.8,3.76560343,12.45751512,24.29765906
58.9,1.021321823,4.344804005,11.15894357
59,2.573595878,20.677971,12.88937787
59.1,6.822248958,1.572082929,123.9182873
59.2,11.77331559,16.89410688,65.23440888
59.3,15.99519266,10.76471642,111.0283136
59.4,18.86986712,5.440641213,184.2423069
59.5,20.41146523,20.35166124,103.043313
59.6,20.96177642,1.344873699,411.6545299
59.7,20.94270607,17.25463293,114.8221038
59.8,20.71602006,10.62184243,144.7611285
59.9,20.52969821,5.301724667,203.0577384
60,20.51056516,20.51056516,103.1417221
60.1,20.66993483,1.580491509,374.4454765
60.2,20.90444103,16.35932892,117.7067535
60.3,20.99045326,12.03205716,137.815301
60.4,20.58664934,3.977077758,235.0981386
60.5,19.27521778,20.93874464,95.93333402
60.6,16.6819998,2.618545383,234.7813651
60.7,12.70350526,13.95511305,77.44661788
60.8,7.809612918,14.89522641,46.08414333
60.9,3.271091407,2.05891094,51.91818051
61,1.021754585,20.69359662,5.115336056
61.1,2.850967155,5.321878615,28.14526203
61.2,8.958593184,9.791562548,65.20176898
61.3,16.68070713,18.5282633,88.25567992
61.4,20.95573783,1.001800241,476.8238336
61.5,17.66597523,18.23027434,94.22943335
61.6,8.347938941,10.41725074,58.90447228
61.7,1.290333195,4.574825042,13.73916027
61.8,4.644175108,20.93877935,23.11417892
61.9,15.77315203,3.086718816,204.4633721
62,20.84564335,12.37790291,134.9389516
62.1,11.82874302,16.99389691,65.34880821
62.2,1.386959805,1.099056427,30.13002172
62.3,6.991360385,18.94543931,36.58094443
62.4,19.85581775,9.816514895,144.3293572
62.5,15.71396737,4.656067158,165.8524126
62.6,1.935211622,20.97444775,9.62340494
62.7,7.871312503,3.661254786,93.68665718
62.8,20.90530562,10.99497345,143.5836512
62.9,9.946696459,18.38763606,52.82767286
63,1.834975781,1.047385978,40.83405631
63.1,18.03521231,16.89334549,99.93301529
63.2,14.51240362,13.17407356,91.0594182
63.3,1.091571823,2.205191662,16.74074227
63.4,17.38488461,20.33835382,87.79291677
63.5,13.55530128,7.694032464,111.2955326
63.6,1.88648443,5.881490414,17.71556847
63.7,20.20612567,20.88323778,100.7000526
63.8,7.041211013,3.57331847,84.83148353
63.9,8.113391507,10.44140158,57.18321884
64,19.01566985,19.16339251,98.92840237
64.1,1.022149875,1.416485105,19.55933739
