time,desired_output,sensed_output,plant_command
30.55,0.999533564,-0.45204469,0.793317047
30.6,0.989007607,-0.362380779,0.73220438
30.65,0.964720957,-0.269072876,0.656948384
30.7,0.926962705,-0.173009086,0.568263605
30.75,0.876212071,-0.075111433,0.467045525
30.8,0.813133272,0.023672831,0.354362373
30.85,0.738567722,0.122380275,0.231444508
30.9,0.653523652,0.22004064,0.099671453
30.95,0.559163241,0.315686382,-0.039443278
31,0.456787434,0.408362324,-0.184269426
31.05,0.347818619,0.497135326,-0.333079092
31.1,0.233781377,0.581103863,-0.484067512
31.15,0.116281578,0.659407421,-0.635375225
31.2,-0.003015924,0.731235612,-0.785111392
31.25,-0.122410675,0.795836905,-0.931377955
31.3,-0.240190769,0.852526882,-1.072294332
31.35,-0.354657421,0.900695927,-1.20602233
31.4,-0.464149608,0.939816245,-1.330790936
31.45,-0.567068424,0.969448154,-1.444920646
31.5,-0.661900797,0.989245545,-1.546846998
31.55,-0.747242199,0.998960454,-1.635142966
31.6,-0.821818012,0.998446682,-1.708539896
31.65,-0.884503226,0.987662403,-1.765946664
31.7,-0.934340139,0.966671723,-1.806466757
31.75,-0.97055379,0.935645153,-1.829413021
31.8,-0.992564858,0.894858965,-1.834319808
31.85,-0.999999808,0.844693437,-1.820952326
31.9,-0.992698092,0.785629966,-1.789313001
31.95,-0.970716272,0.718247079,-1.739644714
32,-0.934328942,0.643215349,-1.672430819
32.05,-0.884026426,0.561291273,-1.588391874
32.1,-0.820509208,0.473310135,-1.488479077
32.15,-0.744679176,0.380177938,-1.373864448
32.2,-0.65762773,0.282862463,-1.245927832
32.25,-0.560620929,0.182383537,-1.106240849
32.3,-0.455081839,0.079802613,-0.956547971
32.35,-0.342570329,-0.023788252,-0.798744935
32.4,-0.224760583,-0.127277887,-0.634854764
32.45,-0.103416639,-0.22954788,-0.467001676
32.5,0.019633692,-0.329484669,-0.297383229
32.55,0.142526148,-0.425991764,-0.128241062
32.6,0.263388177,-0.518001929,0.038169376
32.65,0.380367527,-0.604489213,0.199609696
32.7,0.491660804,-0.68448069,0.353889618
32.75,0.595541584,-0.757067754,0.498897741
32.8,0.690387618,-0.821416866,0.632631611
32.85,0.774706716,-0.876779596,0.753226638
32.9,0.847160873,-0.922501849,0.85898343
32.95,0.906588247,-0.958032158,0.948393142
33,0.952022627,-0.982928927,1.020160425
33.05,0.982710038,-0.996866535,1.073223637
33.1,0.998122204,-0.999640203,1.106771965
33.15,0.997966606,-0.991169557,1.120259177
33.2,0.982192939,-0.971500819,1.113413761
33.25,0.950995823,-0.940807585,1.086245247
33.3,0.904813676,-0.899390145,1.039046575
33.35,0.844323717,-0.847673353,0.972392419
33.4,0.770433136,-0.786203018,0.887133437
33.45,0.684266515,-0.715640865,0.78438648
33.5,0.587149671,-0.636758076,0.665520857
33.55,0.480590108,-0.550427483,0.53214079
33.6,0.366254383,-0.457614463,0.386064291
33.65,0.24594268,-0.359366651,0.229298712
33.7,0.121560985,-0.256802533,0.064013297
33.75,-0.004908719,-0.151099076,-0.107490904
33.8,-0.131439787,-0.043478499,-0.282813328
33.85,-0.255993286,0.064805664,-0.45948796
33.9,-0.376550893,0.172483044,-0.635018673
33.95,-0.491147783,0.278281316,-0.806915328
34,-0.597904983,0.380941282,-0.972730104
34.05,-0.695060645,0.479232004,-1.130093527
34.1,-0.780999718,0.571965785,-1.276749636
34.15,-0.854281514,0.658012824,-1.410589765
34.2,-0.91366468,0.736315366,-1.529684402
34.25,-0.95812914,0.805901158,-1.632312641
34.3,-0.986894611,0.865896046,-1.71698873
34.35,-0.999435332,0.915535535,-1.782485314
34.4,-0.995490726,0.95417517,-1.827852964
34.45,-0.975071766,0.981299568,-1.85243566
34.5,-0.938462886,0.996530002,-1.85588197
34.55,-0.886219346,0.999630383,-1.838151684
34.6,-0.819160053,0.990511574,-1.799517793
34.65,-0.738355886,0.969233938,-1.740563708
34.7,-0.645113689,0.936008066,-1.66217574
34.75,-0.540956123,0.891193644,-1.565530908
34.8,-0.427597692,0.835296457,-1.452080222
34.85,-0.306917291,0.768963521,-1.323527668
34.9,-0.180927694,0.692976388,-1.181805182
34.95,-0.051742477,0.608242674,-1.02904396
35,0.078459096,0.515785898,-0.867542552
35.05,0.207468654,0.416733726,-0.699732182
35.1,0.333086156,0.312304742,-0.528139834
35.15,0.453157546,0.203793913,-0.35534967
35.2,0.565611993,0.092556885,-0.183963365
35.25,0.668498061,-0.020006683,-0.016559991
35.3,0.760018173,-0.132470561,0.144343929
35.35,0.83856076,-0.243399942,0.296333558
35.4,0.902729499,-0.351369782,0.437133434
35.45,0.951369113,-0.454983227,0.56464312
35.5,0.98358722,-0.552889915,0.676970217
35.55,0.998771834,-0.643803898,0.772460198
35.6,0.996604127,-0.726520945,0.849722568
35.65,0.977066205,-0.799934992,0.907652906
35.7,0.940443676,-0.863053516,0.945450403
35.75,0.887322918,-0.915011604,0.962630605
35.8,0.818583029,-0.955084514,0.959033102
35.85,0.735382539,-0.982698548,0.934824047
35.9,0.639141056,-0.997440059,0.890493397
35.95,0.531516116,-0.999062439,0.826846941
36,0.414375581,-0.987490979,0.744993179
36.05,0.289766045,-0.962825498,0.646325276
36.1,0.159877742,-0.925340661,0.532498353
36.15,0.027006559,-0.875483969,0.405402475
36.2,-0.106486206,-0.813871391,0.267131758
36.25,-0.238215642,-0.741280687,0.119950112
36.3,-0.365815848,-0.658642446,-0.03374585
36.35,-0.486982618,-0.567028962,-0.191466093
36.4,-0.599515419,-0.46764104,-0.350668023
36.45,-0.701357896,-0.361792899,-0.508798209
36.5,-0.790636145,-0.250895338,-0.663334302
36.55,-0.865694038,-0.136437383,-0.811826426
36.6,-0.925124924,-0.019966636,-0.951937337
36.65,-0.967799077,0.096931417,-1.081480689
36.7,-0.992886346,0.212654871,-1.198456728
36.75,-0.999873529,0.325607347,-1.301084825
36.8,-0.988576108,0.434220131,-1.387832265
36.85,-0.959144039,0.536974184,-1.457438818
36.9,-0.91206144,0.632421727,-1.508936642
36.95,-0.848140109,0.719207089,-1.541665187
37,-0.768506917,0.79608651,-1.555280835
37.05,-0.67458524,0.861946603,-1.549761098
37.1,-0.568070713,0.915821208,-1.525403306
37.15,-0.450901687,0.956906359,-1.482817808
37.2,-0.325224883,0.984573131,-1.422915793
37.25,-0.193356828,0.998378161,-1.346891955
37.3,-0.057741754,0.998071643,-1.256202309
37.35,0.079093291,0.983602663,-1.15253753
37.4,0.214585319,0.955121744,-1.037792322
37.45,0.346183373,0.912980537,-0.914031326
37.5,0.471396737,0.85772861,-0.783452207
37.55,0.587842437,0.790107354,-0.648346551
37.6,0.693291151,0.711041035,-0.511059303
37.65,0.785710622,0.621625097,-0.373947443
37.7,0.863305719,0.52311184,-0.239338668
37.75,0.924554347,0.416893644,-0.109490811
37.8,0.968238472,0.304483953,0.013447273
37.85,0.993469603,0.187496265,0.127472641
37.9,0.999708189,0.067621406,0.230762364
37.95,0.986776483,-0.053396591,0.321704173
38,0.954864545,-0.173785681,0.398923101
38.05,0.90452921,-0.291771701,0.461303663
38.1,0.836685939,-0.405604599,0.508007152
38.15,0.752593649,-0.513584607,0.538483783
38.2,0.653832723,-0.614087964,0.552479458
38.25,0.542276574,-0.705591806,0.550037062
38.3,0.420057219,-0.786697824,0.531492285
38.35,0.289525491,-0.856154329,0.497464077
38.4,0.153206605,-0.912876362,0.448839941
38.45,0.013751888,-0.955963518,0.386756362
38.5,-0.1261124,-0.984715176,0.312574781
38.55,-0.263638198,-0.998642888,0.227853579
38.6,-0.396109681,-0.997479668,0.134316637
38.65,-0.520897153,-0.981186014,0.033819092
38.7,-0.635509724,-0.949952534,-0.071689044
38.75,-0.737645704,-0.90419906,-0.18020068
38.8,-0.825239693,-0.844570241,-0.28969013
38.85,-0.896505376,-0.771927627,-0.398151518
38.9,-0.949973142,-0.687338302,-0.503636376
38.95,-0.984521692,-0.592060229,-0.604289702
39,-0.999402948,-0.487524445,-0.698383772
39.05,-0.994259688,-0.375314384,-0.784349081
39.1,-0.969135462,-0.257142576,-0.860801808
39.15,-0.924476516,-0.134825076,-0.926567294
39.2,-0.86112559,-0.010253979,-0.980699111
39.25,-0.780307626,0.114631569,-1.022493368
39.3,-0.683607588,0.237875424,-1.051498009
39.35,-0.572940767,0.3575351,-1.067516981
39.4,-0.450516081,0.471712559,-1.070609212
39.45,-0.318793061,0.578584637,-1.061082493
39.5,-0.180433312,0.676432615,-1.039482422
39.55,-0.038247413,0.763670462,-1.006576702
39.6,0.104861725,0.838871272,-0.96333516
39.65,0.245957905,0.900791445,-0.91090594
39.7,0.382131898,0.948392194,-0.850588418
39.75,0.510561677,0.980857993,-0.783803439
39.8,0.62857138,0.997611638,-0.712061524
39.85,0.733687765,0.998325607,-0.636929751
39.9,0.823692956,0.982929505,-0.559998026
39.95,0.896672331,0.951613419,-0.482845468
40,0.951056516,0.904827052,-0.407007632
40.05,0.985656527,0.843274627,-0.333945257
40.1,0.999691255,0.767905552,-0.265015218
40.15,0.992806637,0.67990097,-0.201444256
40.2,0.965086017,0.580656349,-0.144306061
40.25,0.917051375,0.471760343,-0.094502144
40.3,0.849655321,0.354970232,-0.052746882
40.35,0.764263904,0.232184303,-0.019557017
40.4,0.662630506,0.105411581,0.004754215
