Time,input_1,output
22.9,99.41626448,1.485406612
23,-22.12080928,-1.553020232
23.1,-81.56309839,-3.03907746
23.2,87.89569851,1.197392463
23.3,-2.233486641,-1.055837166
23.4,-82.27476748,-3.056869187
23.5,94.88484625,1.372121156
23.6,-37.69874054,-1.942468514
23.7,-40.20148971,-2.005037243
23.8,91.32555912,1.283138978
23.9,-96.76308137,-3.419077034
24,64.70559616,0.617639904
24.1,-15.39206006,-1.384801501
24.2,-32.58189797,-1.814547449
24.3,68.56684544,0.714171136
24.4,-89.85245608,-3.246311402
24.5,98.78108993,1.469527248
24.6,-99.687777,-3.492194425
24.7,96.8512807,1.421282018
24.8,-93.53996045,-3.338499011
24.9,91.77421485,1.294355371
25,-92.38795325,-3.309698831
25.1,95.10468078,1.377617019
25.2,-98.50877131,-3.462719283
25.3,99.95154016,1.498788504
25.4,-95.59406948,-3.389851737
25.5,80.94783903,1.023695976
25.6,-52.34625437,-2.308656359
25.7,9.564074978,-0.760898126
25.8,40.9681043,0.024202608
25.9,-84.29616802,-3.1074042
26,99.71589003,1.492897251
26.1,-70.978961,-2.774474025
26.2,2.023047647,-0.949423809
26.3,72.532391,0.813309775
26.4,-99.08724863,-3.477181216
26.5,46.02772595,0.150693149
26.6,51.56244017,0.289061004
26.7,-99.85556741,-3.496389185
26.8,36.29780287,-0.092554928
26.9,74.25629539,0.856407385
27,-85.91385813,-3.147846453
27.1,-29.58114194,-1.739528548
27.2,99.20515766,1.480128942
27.3,1.479636145,-0.963009096
27.4,-99.94287148,-3.498571787
27.5,1.963369246,-0.950915769
27.6,99.83586524,1.495896631
27.7,19.57373374,-0.510656657
27.8,-92.12614527,-3.303153632
27.9,-61.68463197,-2.542115799
28,54.63943467,0.365985867
28.1,98.25160969,1.456290242
28.2,26.31457159,-0.34213571
28.3,-70.90810975,-2.772702744
28.4,-97.82172177,-3.445543044
28.5,-41.93728623,-2.048432156
28.6,41.99716872,0.049929218
28.7,94.47442728,1.361860682
28.8,91.84519041,1.29612976
28.9,46.73466618,0.168366655
29,-12.84494302,-1.321123576
29.1,-62.96702721,-2.57417568
29.2,-92.10168902,-3.302542226
29.3,-99.96443201,-3.4991108
29.4,-92.46470953,-3.311617738
29.5,-77.00123736,-2.925030934
29.6,-59.7501996,-2.49375499
29.7,-44.81304705,-2.120326176
29.8,-34.45249557,-1.861312389
29.9,-29.70115835,-1.742528959
30,-30.90169944,-1.772542486
30.1,-37.97500332,-1.949375083
30.2,-50.35146338,-2.258786585
30.3,-66.58009309,-2.664502327
30.4,-83.72532865,-3.093133216
30.5,-96.83875418,-3.420968855
30.6,-99.06166294,-3.476541573
30.7,-83.14521581,-3.078630395
30.8,-45.01794834,-2.125448708
30.9,11.03275894,-0.724181027
31,68.22536091,0.705634023
31.1,99.31751286,1.482937822
31.2,79.67324764,0.991831191
31.3,9.313869729,-0.767153257
31.4,-71.60242114,-2.790060529
31.5,-98.35872203,-3.458968051
31.6,-36.39145904,-1.909786476
31.7,64.9710787,0.624276967
31.8,96.13732272,1.403433068
31.9,8.663064696,-0.783423383
32,-92.50772068,-3.312693017
32.1,-58.88268212,-2.472067053
32.2,69.1750042,0.729375105
32.3,79.64476031,0.991119008
32.4,-56.27068221,-2.406767055
32.5,-82.04014435,-3.051003609
32.6,63.07191491,0.576797873
32.7,68.29194174,0.707298544
32.8,-85.12583558,-3.12814589
32.9,-28.62536525,-1.715634131
33,99.94029484,1.498507371
33.1,-40.97670168,-2.024417542
33.2,-64.28303927,-2.607075982
33.3,98.2934707,1.457336768
33.4,-38.10574672,-1.952643668
33.5,-51.51128749,-2.287782187
33.6,98.71719582,1.467929896
33.7,-79.83812504,-2.995953126
33.8,17.98461739,-0.550384565
33.9,47.95773237,0.198943309
34,-89.94052516,-3.248513129
34.1,99.46924064,1.486731016
34.2,-82.77157465,-3.069289366
34.3,51.85016693,0.296254173
34.4,-17.70022879,-1.44250572
34.5,-12.61123999,-1.315281
34.6,35.98144304,-0.100463924
34.7,-52.00588631,-2.300147158
34.8,61.54854167,0.538713542
34.9,-65.66094509,-2.641523627
35,64.94480483,0.623620121
35.1,-59.28821194,-2.482205298
35.2,47.91086085,0.197771521
35.3,-29.73115513,-1.743278878
35.4,4.133158248,-0.896671044
35.5,27.82368072,-0.304407982
35.6,-61.94392898,-2.548598225
35.7,89.87312987,1.246828247
35.8,-99.83369906,-3.495842477
35.9,80.68139136,1.017034784
36,-29.70415816,-1.742603954
36.1,-38.78727453,-1.969681863
36.2,91.72047712,1.293011928
36.3,-91.48483506,-3.287120876
36.4,26.3751838,-0.340620405
36.5,63.19616736,0.579904184
36.6,-99.19405053,-3.479851263
36.7,35.90228822,-0.102442795
36.8,69.76254172,0.744063543
36.9,-91.97516375,-3.299379094
37,-9.723549392,-1.243088735
37.1,98.93898042,1.473474511
37.2,-32.04675057,-1.801168764
37.3,-90.30940904,-3.257735226
37.4,47.8336309,0.195840773
37.5,88.19212643,1.204803161
37.6,-40.79608054,-2.019902014
37.7,-95.91551483,-3.397887871
37.8,9.047962227,-0.773800944
37.9,98.58612439,1.46465311
38,47.07039322,0.17675983
38.1,-64.13130479,-2.60328262
38.2,-96.91741743,-3.422935436
38.3,-25.81412663,-1.645353166
38.4,67.19894782,0.679973696
38.5,99.48718862,1.487179716
38.6,56.21873074,0.405468269
38.7,-21.10552542,-1.527638136
38.8,-81.89437657,-3.047359414
38.9,-99.73427795,-3.493356949
39,-76.85069172,-2.921267293
39.1,-31.25703469,-1.781425867
39.2,17.70022879,-0.55749428
39.3,57.36936651,0.434234163
39.4,83.12251793,1.078062948
39.5,96.05125086,1.401281271
39.6,99.93082916,1.498270729
39.7,98.9535361,1.473838402
39.8,96.53488529,1.413372132
39.9,94.90862489,1.372715622
40,95.10565163,1.377641291
40.1,97.01189745,1.425297436
40.2,99.35971207,1.483992802
40.3,99.66889574,1.491722393
40.4,94.31577101,1.357894275
40.5,79.06361447,0.976590362
40.6,50.45999537,0.261499884
40.7,8.312476228,-0.792188094
40.8,-41.2544868,-2.03136217
40.9,-83.95648752,-3.098912188
41,-99.82190653,-3.495547663
41.1,-72.72674352,-2.818168588
41.2,-5.476196817,-1.13690492
41.3,69.43544812,0.735886203
41.4,99.66556672,1.491639168
41.5,51.51128749,0.287782187
41.6,-45.24222574,-2.131055644
41.7,-99.96100176,-3.499025044
41.8,-44.6247795,-2.115619487
41.9,67.15938706,0.678984677
42,91.01059707,1.275264927
42.1,-17.99388841,-1.44984721
42.2,-99.9996518,-3.499991295
42.3,-12.31199812,-1.307799953
42.4,98.35815514,1.458953878
42.5,17.57962799,-0.5605093
42.6,-99.40434106,-3.485108527
42.7,2.107852551,-0.947303686
42.8,97.71614337,1.442903584
42.9,-45.28424598,-2.13210615
43,-70.48818539,-2.762204635
43.1,92.07106758,1.30177669
43.2,-4.321485281,-1.108037132
43.3,-85.24595509,-3.131148877
